case_treatment_rubric,case_id,vendor,rubric_id,mean_score,variance_score,std_dev,min_score,max_score,score_range,note_count
15-anthropic-rubric650,15,Anthropic,650,108.53,1.56,1.25,105.75,109.75,4.00,10
15-anthropic-rubric1173,15,Anthropic,1173,89.90,0.99,0.99,88.75,92.75,4.00,10
15-anthropic-rubric1394,15,Anthropic,1394,73.55,1.16,1.08,71.00,75.50,4.50,10
15-anthropic-rubric1599,15,Anthropic,1599,81.00,2.54,1.59,78.75,82.25,3.50,3
15-anthropic-rubric1695,15,Anthropic,1695,121.27,262.40,16.20,84.00,130.00,46.00,13
15-openai-rubric650,15,OpenAI,650,78.78,1318.13,36.31,25.00,109.00,84.00,10
15-openai-rubric1173,15,OpenAI,1173,62.95,940.22,30.66,15.00,88.75,73.75,10
15-openai-rubric1394,15,OpenAI,1394,52.05,606.87,24.63,10.00,71.00,61.00,10
15-openai-rubric1695,15,OpenAI,1695,78.70,2065.56,45.45,17.50,118.50,101.00,10
16-anthropic-rubric1178,16,Anthropic,1178,126.58,0.05,0.23,126.50,127.25,0.75,10
16-anthropic-rubric1191,16,Anthropic,1191,77.68,8.68,2.95,73.50,82.50,9.00,10
16-openai-rubric1178,16,OpenAI,1178,110.35,98.15,9.91,91.25,124.75,33.50,10
16-openai-rubric1191,16,OpenAI,1191,73.55,0.02,0.15,73.50,74.00,0.50,10
17-anthropic-rubric470,17,Anthropic,470,92.28,6.94,2.63,89.75,96.75,7.00,10
17-anthropic-rubric1193,17,Anthropic,1193,87.70,30.42,5.52,80.50,95.00,14.50,10
17-anthropic-rubric1690,17,Anthropic,1690,69.00,5.17,2.27,66.00,71.50,5.50,3
17-anthropic-rubric1736,17,Anthropic,1736,93.92,5.68,2.38,90.75,96.50,5.75,3
17-anthropic-rubric1738,17,Anthropic,1738,103.21,13.84,3.72,97.75,108.50,10.75,13
17-anthropic-rubric1755,17,Anthropic,1755,60.67,13.72,3.70,55.50,64.00,8.50,3
17-anthropic-rubric1777,17,Anthropic,1777,56.75,13.63,3.69,52.00,61.00,9.00,3
17-openai-rubric470,17,OpenAI,470,86.65,19.92,4.46,79.50,94.50,15.00,10
17-openai-rubric1193,17,OpenAI,1193,80.45,68.61,8.28,69.50,95.00,25.50,10
17-openai-rubric1738,17,OpenAI,1738,100.40,5.29,2.30,97.50,103.50,6.00,10
18-anthropic-rubric1190,18,Anthropic,1190,67.33,3.11,1.76,63.25,69.50,6.25,10
18-anthropic-rubric1385,18,Anthropic,1385,114.13,5.34,2.31,109.00,116.75,7.75,10
18-anthropic-rubric1602,18,Anthropic,1602,53.75,23.79,4.88,48.50,60.25,11.75,3
18-anthropic-rubric1766,18,Anthropic,1766,71.42,26.93,5.19,64.50,77.00,12.50,3
18-openai-rubric1190,18,OpenAI,1190,63.03,3.13,1.77,58.50,66.25,7.75,10
18-openai-rubric1385,18,OpenAI,1385,111.13,26.58,5.16,100.25,115.25,15.00,10
18-openai-rubric1772,18,OpenAI,1772,81.08,39.35,6.27,74.00,89.25,15.25,3
19-anthropic-rubric1219,19,Anthropic,1219,89.10,14.89,3.86,83.00,96.00,13.00,10
19-openai-rubric1219,19,OpenAI,1219,88.00,13.80,3.71,79.00,91.00,12.00,10